,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,0,1,2,4,2,1,3,4,1,0,3,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,2,1,2,0,1,1,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,1,0,0,0,0,2,6,0,1,1,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,2,1,1,1,5,2,2,4,2,2,2,2,0,0,0,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,2,2,2,1,3,0,2,4,2,4,3,0,2,0,0,1,2,7,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
8,3,4,9,14,5,3,0,10,11,3,6,2,2,6,1,2,4,0,1,4,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
9,4,2,1,2,1,4,2,0,1,2,2,0,1,0,2,0,2,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
10,4,8,5,4,8,7,0,10,1,6,3,3,0,0,2,3,5,8,2,16,4,2,4,7,5,1,0,0,0,0,0,0,0,0,0,0,0,28
11,16,15,16,15,30,23,19,14,11,15,6,13,6,28,8,21,4,42,17,53,33,8,17,22,29,21,21,0,0,0,0,0,0,0,0,0,0,162
12,4,2,2,2,10,8,2,2,0,0,9,1,4,6,4,6,4,7,4,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
13,1,8,0,4,6,1,6,2,4,0,0,0,2,6,0,2,3,5,3,3,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16
14,3,2,2,3,8,2,9,2,5,1,0,1,0,2,0,1,1,3,1,1,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
15,0,3,2,4,7,4,6,3,8,1,0,3,1,1,4,1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
16,2,3,1,3,6,5,1,5,2,0,1,2,5,4,2,6,3,0,3,2,7,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,18
17,5,3,4,11,8,4,15,8,8,10,15,5,5,1,4,3,16,2,2,3,6,3,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,74
18,7,2,6,7,8,12,5,5,9,11,16,0,8,2,2,10,1,1,2,15,8,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,48
19,2,1,2,6,2,11,3,4,3,3,7,3,3,2,1,2,1,1,2,8,9,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,15
20,1,2,0,0,0,0,0,0,1,1,0,2,1,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21,0,0,3,0,5,5,6,7,0,5,5,2,3,0,1,0,3,0,4,4,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16
22,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,1,1,3,9,4,12,7,5,6,2,4,2,1,3,5,0,9,1,4,5,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,25
25,0,1,1,2,1,1,0,1,0,0,0,2,0,4,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,0,2,1,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
27,0,1,7,0,0,1,1,0,0,1,0,0,3,0,2,2,2,2,7,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15
28,0,6,1,1,0,0,0,1,1,0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29,0,1,9,1,0,0,3,0,0,3,1,2,4,0,0,3,2,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
30,2,2,9,0,1,1,0,0,0,0,1,0,2,2,0,2,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13
31,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8
32,0,0,6,0,0,2,0,1,3,1,1,0,3,4,1,4,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
33,3,2,0,2,4,1,0,0,0,0,2,4,0,8,1,12,9,2,9,25,6,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
34,0,1,1,3,1,1,1,0,0,1,2,0,0,0,0,2,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
35,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,6,11,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
36,4,0,2,5,8,2,1,1,0,2,2,1,0,2,3,4,2,3,1,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
37,0,0,0,0,0,0,0,0,0,0,1,4,2,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,1,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,1,0,1,0,2,0,0,0,1,2,1,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2
40,2,3,0,0,0,7,1,2,2,2,1,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
41,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
44,0,3,0,3,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
46,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,1,5,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2
49,2,0,0,0,0,0,3,0,0,0,0,1,0,0,3,1,1,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,0,0,0,3,0,0,0,3,0,0,5,2,2,0,1,2,1,7,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9
53,0,1,1,0,1,0,2,0,0,0,1,0,0,3,6,0,1,0,1,3,2,2,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,10
54,1,3,0,0,0,2,0,0,0,0,0,3,1,1,0,2,4,4,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
55,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
56,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
58,1,4,5,1,0,0,1,0,1,2,1,0,1,0,1,1,2,1,0,1,3,1,4,3,8,2,4,0,0,0,0,0,0,0,0,0,0,11
59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
