,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,0,1,0,1,2,1,3,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,2,1,0,1,0,6,3,0,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,0,1,2,3,3,10,3,2,8,1,5,4,3,1,1,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
4,0,1,1,2,7,3,3,9,3,0,0,4,2,2,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,0,0,1,5,4,19,2,2,15,1,4,3,1,2,2,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
6,2,5,2,6,7,2,5,16,1,3,4,1,0,0,1,8,3,1,10,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
7,4,3,5,7,4,8,2,7,26,7,3,9,4,4,5,0,4,7,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
8,5,6,9,9,15,7,3,9,48,4,6,14,5,2,4,10,4,10,1,5,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
9,2,3,1,1,3,1,6,2,13,3,5,1,1,7,3,2,4,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
10,8,9,7,6,17,15,1,13,3,4,1,3,2,9,5,11,6,18,3,15,19,5,7,8,6,4,0,0,0,0,0,0,0,0,0,0,0,41
11,31,21,30,30,48,54,23,12,21,9,27,14,20,43,12,18,17,59,13,109,48,29,24,47,61,32,27,0,0,0,0,0,0,0,0,0,0,207
12,0,4,6,3,7,15,6,1,1,2,8,4,0,10,6,8,3,11,4,8,1,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,31
13,2,6,7,10,4,6,8,0,14,0,2,3,13,7,7,3,4,10,2,2,6,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25
14,2,4,8,4,4,5,5,3,13,3,2,3,3,4,4,4,4,13,5,5,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29
15,2,4,5,3,9,10,10,4,7,6,4,4,3,7,4,2,9,4,4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
16,7,1,6,8,7,2,6,11,9,9,6,8,2,8,5,3,0,1,2,6,3,2,0,10,5,4,1,0,0,0,0,0,0,0,0,0,0,49
17,5,3,8,12,16,21,11,24,15,12,10,9,17,13,7,6,15,8,6,10,4,11,4,9,14,0,0,0,0,0,0,0,0,0,0,0,0,77
18,2,4,2,14,15,13,11,13,23,19,22,9,3,6,3,17,9,12,13,12,9,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,76
19,5,3,1,14,7,14,9,16,16,8,18,7,5,13,2,10,6,8,1,14,8,5,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,69
20,1,1,0,1,3,1,4,2,2,6,1,1,5,4,0,1,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
21,2,3,7,5,8,16,6,25,3,4,13,2,4,2,3,5,11,5,8,5,7,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,51
22,0,1,3,0,2,1,2,2,2,2,1,0,3,2,0,1,1,1,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
23,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,5,10,17,10,7,17,32,24,8,15,10,7,11,11,11,11,3,23,4,9,16,11,10,19,12,0,0,0,0,0,0,0,0,0,0,0,0,108
25,0,0,1,3,18,1,3,0,3,0,3,1,1,6,4,2,4,2,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
26,2,4,2,18,0,3,0,0,2,1,0,5,9,2,3,0,0,4,4,3,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
27,0,9,3,25,1,2,2,5,2,1,0,1,4,0,0,5,2,2,10,6,2,8,4,4,5,10,4,0,0,0,0,0,0,0,0,0,0,31
28,3,15,0,1,1,0,0,4,0,0,1,0,2,13,1,17,1,1,4,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
29,1,3,8,33,5,2,5,3,3,5,2,3,1,4,4,9,2,0,1,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
30,1,3,20,0,1,5,2,0,1,1,3,0,0,3,3,6,2,4,3,4,3,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,38
31,2,2,4,0,1,8,0,2,0,0,0,1,0,1,0,0,2,0,6,5,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9
32,1,4,14,0,3,1,0,1,5,1,4,2,8,3,13,12,5,0,4,6,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,9,3,6,1,18,1,2,0,2,0,5,3,7,17,5,13,8,2,15,6,5,7,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,48
34,1,0,1,4,16,0,0,1,0,0,3,0,1,0,0,3,0,6,6,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
35,2,2,1,4,13,0,4,0,3,1,3,3,3,2,0,6,1,3,4,3,3,5,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,24
36,4,2,1,12,17,1,0,1,3,0,3,10,1,3,9,2,13,2,1,12,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
37,0,4,7,2,1,1,0,0,0,4,4,0,3,5,3,1,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
38,2,3,0,1,0,0,0,0,1,2,1,1,2,7,6,0,3,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
39,0,2,0,3,2,0,0,0,2,1,0,0,0,2,0,0,0,0,5,1,5,3,2,1,1,0,8,0,0,0,0,0,0,0,0,0,0,11
40,5,23,1,0,0,5,2,3,0,1,1,7,3,1,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
41,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
42,2,4,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43,1,0,3,0,1,1,1,1,0,0,4,0,5,4,1,1,1,0,0,0,5,2,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,9
44,0,0,1,4,1,0,1,1,2,3,0,3,2,3,1,3,1,0,1,2,1,0,2,1,0,2,2,0,1,1,0,0,0,0,0,0,0,7
45,0,0,2,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
46,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,0,0,2,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,7
47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1,1,2,0,2,0,3,0,1,0,3,2,1,0,1,2,2,2,0,2,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,9
49,6,0,0,1,0,1,2,0,0,0,2,2,2,0,1,1,1,0,2,6,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,20
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,6,1,2,1,1,4,0,1,0,0,2,1,1,0,0,2,1,4,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
52,2,2,4,0,3,3,1,5,1,0,4,3,1,2,1,4,0,5,4,2,0,2,2,1,4,1,0,0,2,0,0,0,0,0,0,0,0,21
53,3,2,1,0,7,1,2,4,3,2,0,0,2,2,2,0,3,0,3,8,6,3,2,2,0,2,1,2,1,0,0,1,0,0,0,0,0,14
54,1,4,0,2,2,4,4,1,3,0,0,1,7,0,3,1,5,0,5,4,2,1,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,21
55,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
56,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,0,0,1,0,3,1,0,0,1,0,1,0,1,0,5
57,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,5,2,2,1,3,0,0,2,2,4,0,1,0,0,2,0,5,1,0,5,9,4,10,0,7,2,0,0,0,0,0,0,0,0,0,0,0,20
59,1,2,1,0,1,0,1,0,0,1,0,2,0,1,2,3,3,0,2,0,7,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
60,0,0,0,0,0,0,3,2,1,0,0,2,0,1,0,0,2,3,2,1,5,0,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,6
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
