,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1,0,1,1,0,0,2,5,2,6,0,0,5,1,3,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,1,1,0,1,0,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,4,1,0,7,6,5,4,1,7,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,1,2,7,4,3,11,4,2,12,1,1,5,2,0,1,1,2,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
4,2,1,3,5,5,5,4,10,1,0,0,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5,0,4,2,3,6,5,4,4,28,2,3,5,3,5,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
6,4,6,1,2,14,2,8,13,2,2,6,7,3,2,2,3,5,4,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
7,9,6,10,3,3,8,8,5,36,8,4,4,0,5,6,6,5,6,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
8,1,5,14,1,6,4,4,10,29,6,10,1,3,5,3,2,2,8,0,8,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
9,4,1,6,3,4,3,8,1,15,6,5,5,2,2,4,9,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10,6,5,4,8,14,30,0,21,3,4,2,2,5,5,15,13,6,12,4,19,8,8,3,7,10,3,0,0,0,0,0,0,0,0,0,0,0,48
11,20,16,14,18,27,56,16,25,26,7,23,17,17,26,19,9,14,39,20,86,42,25,28,31,35,24,14,0,0,0,0,0,0,0,0,0,0,180
12,4,3,12,7,11,10,6,8,6,2,4,11,2,7,11,12,3,5,3,4,5,5,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,35
13,8,8,4,10,19,8,11,8,27,3,1,0,6,17,24,6,1,12,4,11,21,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
14,0,7,7,8,14,19,9,7,10,7,11,5,10,11,12,6,5,8,11,4,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42
15,0,6,6,13,14,9,12,5,18,6,17,8,13,17,6,4,11,5,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
