,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,2,0,1,1,0,3,1,1,3,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,1,2,1,1,4,1,4,3,2,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,2,2,3,3,7,11,5,9,17,2,1,2,1,0,1,0,0,6,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
4,1,2,1,4,7,3,8,13,2,2,2,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
5,1,2,2,2,5,6,6,5,15,2,4,2,1,1,1,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
6,2,4,4,4,8,3,7,16,4,4,3,2,1,2,2,2,5,2,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
7,3,6,9,7,5,6,3,10,29,4,8,5,2,2,5,3,4,9,5,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
8,4,11,9,7,7,5,5,9,37,5,7,7,2,2,4,5,3,8,8,6,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
9,2,6,4,4,2,5,5,3,18,4,5,3,2,1,4,4,4,2,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10,14,8,9,11,17,23,7,23,7,6,5,6,6,4,14,12,11,16,8,26,13,8,8,13,19,9,0,0,0,0,0,0,0,0,0,0,0,70
11,20,22,20,23,38,56,22,21,16,7,16,16,11,31,16,11,13,54,14,98,44,25,24,24,45,18,19,0,0,0,0,0,0,0,0,0,0,165
12,3,6,7,6,13,8,8,4,3,3,6,3,5,12,9,6,4,16,2,3,5,3,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,35
13,3,6,4,9,9,11,8,6,16,2,3,5,6,12,9,5,4,15,5,7,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
14,3,4,5,6,12,9,9,6,22,6,3,3,5,12,10,8,3,11,5,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
15,3,4,4,8,15,13,12,6,17,7,6,6,9,6,5,3,9,6,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
16,5,5,5,12,12,13,6,20,8,13,14,13,13,11,6,16,4,13,6,16,7,3,3,3,5,4,1,0,0,0,0,0,0,0,0,0,0,60
17,4,4,6,13,18,12,9,28,14,16,20,7,12,12,9,8,17,9,12,5,14,9,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,67
18,6,9,6,14,20,19,8,27,13,23,29,9,12,24,8,17,8,14,8,18,13,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,88
19,4,7,6,14,12,14,8,21,10,14,19,7,8,14,4,13,7,9,8,12,11,5,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,80
20,1,2,3,3,4,1,5,2,3,4,2,3,7,4,2,4,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21,4,6,9,11,11,10,15,28,8,8,10,5,6,11,9,4,11,1,6,9,7,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,69
22,1,1,1,1,1,0,3,2,1,1,0,1,3,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23,1,1,0,1,0,2,3,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24,15,23,22,28,41,30,62,66,21,24,38,21,17,28,26,20,7,57,18,22,26,20,18,24,25,0,0,0,0,0,0,0,0,0,0,0,0,190
