,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2,7,2,2,1,1,6,2,9,5,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,1,1,3,1,0,3,3,2,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,1,6,2,1,3,5,0,1,8,7,0,1,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,0,3,2,8,8,5,2,13,17,6,4,0,0,3,4,1,0,6,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
4,30,13,10,4,3,2,3,12,1,1,1,6,0,2,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
5,5,6,3,5,4,9,9,10,20,5,6,2,1,6,2,4,3,8,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
6,2,5,3,8,9,4,7,12,8,4,3,1,4,4,7,7,5,8,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
7,2,15,29,5,10,8,6,19,31,4,4,7,11,8,9,11,9,11,3,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
8,5,4,13,8,13,5,6,9,14,2,5,2,2,3,13,15,3,4,6,3,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
9,3,4,8,0,8,15,5,3,10,3,5,4,5,7,4,7,10,2,17,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
10,12,7,8,8,8,21,9,21,6,5,5,11,13,8,25,49,10,23,5,42,27,9,10,19,6,10,0,0,0,0,0,0,0,0,0,0,0,80
11,16,7,14,16,17,11,12,15,8,7,7,27,10,25,29,7,20,16,12,27,18,7,19,27,17,7,6,0,0,0,0,0,0,0,0,0,0,92
12,8,2,4,8,13,4,4,4,8,6,9,6,16,7,19,4,3,10,3,7,7,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,31
13,3,1,5,6,8,4,7,5,11,4,5,9,13,13,25,7,4,13,11,5,6,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36
14,0,2,4,4,2,7,7,8,20,5,17,7,4,15,10,14,5,14,18,1,5,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43
15,4,1,4,4,6,6,7,8,12,8,25,13,15,18,6,2,5,15,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
16,3,3,7,3,1,9,1,26,12,13,16,26,28,15,5,14,1,7,5,8,4,4,2,2,2,2,6,0,0,0,0,0,0,0,0,0,0,46
17,3,2,4,4,3,8,6,13,13,16,12,5,3,10,9,3,7,1,5,3,2,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,27
18,3,3,0,7,1,10,4,15,12,17,11,5,11,6,4,4,1,12,5,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29
19,2,2,4,3,5,6,3,13,8,6,17,6,7,15,8,14,4,6,2,4,3,7,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,35
20,2,0,2,1,3,1,9,2,4,4,0,3,2,2,2,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
21,8,6,5,10,12,4,10,42,9,7,9,2,6,12,8,5,39,11,3,7,8,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,42
22,0,0,0,1,1,1,13,2,1,1,1,1,3,1,2,0,0,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
24,9,19,6,10,27,9,21,46,12,17,21,12,20,13,35,13,2,45,17,5,2,8,6,25,16,0,0,0,0,0,0,0,0,0,0,0,0,89
25,0,1,2,12,36,1,2,2,6,9,7,7,5,10,5,0,1,0,0,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
26,3,1,18,25,0,2,8,6,2,30,3,5,3,3,7,6,1,16,7,1,8,0,2,3,1,4,2,0,0,0,0,0,0,0,0,0,0,43
27,4,7,21,40,1,3,1,3,1,4,5,4,6,0,6,8,0,2,5,11,2,10,5,3,6,10,8,0,0,0,0,0,0,0,0,0,0,27
28,3,15,1,3,5,3,3,1,5,2,7,2,2,14,12,27,5,3,3,5,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28
29,2,2,10,47,5,4,6,4,6,13,8,5,9,7,11,10,3,9,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
30,2,10,28,5,2,2,3,3,5,12,4,7,7,7,11,3,3,4,6,12,5,11,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,55
31,0,1,2,5,6,11,0,2,0,5,2,4,1,0,1,4,3,2,0,6,6,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22
32,2,12,32,2,1,1,3,5,8,6,6,0,0,1,3,3,4,3,12,6,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44
33,2,1,5,7,22,4,1,2,5,5,3,3,1,8,1,10,3,2,6,8,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27
34,0,3,0,2,8,2,1,0,2,1,2,0,2,0,2,4,2,2,4,1,6,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,15
35,2,3,7,33,47,3,4,0,3,5,7,4,14,2,8,12,4,7,6,13,8,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,44
36,2,1,3,16,34,5,5,2,5,3,11,5,1,6,2,3,10,0,5,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
37,0,6,9,2,0,1,1,0,1,1,0,2,3,2,7,2,1,3,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
38,3,19,1,0,0,2,0,1,2,5,1,3,1,3,5,2,11,7,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
39,0,0,1,3,18,1,0,1,0,0,2,0,2,3,1,1,3,1,1,0,2,7,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,16
40,6,32,2,8,7,5,4,4,1,1,6,8,3,7,22,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
41,1,3,1,0,0,4,2,1,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
42,0,10,0,1,1,0,3,2,1,5,2,0,1,1,0,0,4,3,2,2,5,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,9
43,2,1,2,2,0,0,1,2,2,2,7,1,3,2,1,3,0,0,2,2,2,2,2,1,3,1,0,1,2,0,0,0,0,0,0,0,0,5
44,0,1,8,8,0,3,4,0,2,7,2,3,7,3,2,2,2,1,1,0,3,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,18
45,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
46,0,1,2,1,0,1,3,1,0,6,1,5,4,1,2,1,1,2,2,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1,12
47,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
