,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,2,1,0,0,1,2,0,4,1,6,3,1,1,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,1,1,1,3,0,0,5,1,2,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,0,1,3,1,3,7,3,1,5,4,2,1,1,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,2,2,9,5,7,6,2,23,15,5,0,5,2,3,2,1,3,10,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
4,26,9,10,6,5,5,5,15,1,7,3,4,3,6,2,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
5,5,4,4,1,2,9,6,14,10,5,8,7,2,0,4,3,2,5,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
6,5,12,3,2,2,6,13,25,11,8,3,4,3,0,9,2,6,6,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
7,10,24,33,7,6,3,5,18,30,8,7,8,6,5,4,10,5,4,5,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
8,8,15,10,8,8,2,7,18,22,5,3,4,1,4,5,5,4,9,5,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
9,2,4,1,4,6,12,7,4,9,3,7,5,8,4,6,6,8,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
10,18,14,12,7,15,20,12,47,11,9,10,6,10,5,35,38,14,20,4,33,26,7,6,26,10,6,0,0,0,0,0,0,0,0,0,0,0,76
11,17,5,13,13,13,14,19,18,7,6,12,20,11,36,33,6,16,12,12,25,13,10,20,25,22,4,19,0,0,0,0,0,0,0,0,0,0,77
12,5,6,3,3,6,8,9,13,8,3,5,6,8,18,15,10,6,12,4,13,7,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,37
13,5,4,3,6,16,8,12,7,20,4,6,10,16,14,10,5,3,12,18,8,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22
14,3,3,5,1,6,7,9,11,18,6,10,9,9,19,18,5,10,22,18,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
15,5,1,6,4,10,7,6,4,23,9,15,11,4,11,5,8,8,11,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
16,3,7,2,7,10,15,11,8,21,7,12,26,20,16,9,11,3,17,3,4,1,2,4,3,6,5,3,0,0,0,0,0,0,0,0,0,0,46
17,4,3,5,4,2,10,14,10,12,4,13,6,4,10,11,3,9,2,13,1,3,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,28
18,3,2,3,6,7,4,6,19,5,8,14,4,7,17,5,10,6,13,5,2,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34
19,1,0,2,4,1,6,4,16,7,10,10,6,10,15,7,10,2,9,1,4,6,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,26
20,0,6,2,4,2,0,6,4,3,2,5,1,5,3,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21,9,5,15,8,6,3,30,52,15,3,9,20,13,11,13,5,67,4,9,9,2,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,64
22,0,1,2,1,2,0,4,6,1,0,2,1,7,4,1,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
23,0,0,0,1,0,0,1,1,0,2,1,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,6,7,10,3,9,6,32,21,13,7,8,16,9,13,17,9,1,83,23,5,2,4,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,60
25,2,3,1,11,18,2,2,0,5,9,1,5,0,12,9,2,6,2,1,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
26,0,6,20,15,0,2,5,7,4,30,1,9,2,0,4,2,2,10,6,2,3,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,35
