,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1,2,1,1,1,1,2,1,1,5,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,1,3,1,1,1,3,3,3,4,7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,2,2,4,6,4,7,6,10,22,2,2,4,2,1,1,2,1,8,12,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
4,1,5,3,4,4,5,9,16,3,2,2,2,2,1,2,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
5,2,4,2,2,4,5,5,10,13,3,4,4,2,0,3,5,4,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
6,2,5,2,4,4,2,8,25,6,6,4,5,3,3,4,3,7,8,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
7,2,5,3,4,4,6,3,11,23,6,11,5,4,1,7,8,6,9,8,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
8,2,7,4,4,4,2,2,10,25,6,6,7,3,4,5,8,3,5,10,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
9,3,7,5,3,4,6,7,5,15,4,4,4,3,6,5,11,9,0,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
10,14,7,10,10,14,19,8,23,5,7,3,7,7,8,26,58,20,16,10,19,12,7,7,25,14,9,0,0,0,0,0,0,0,0,0,0,0,77
11,14,9,9,11,16,11,9,13,7,6,13,13,8,25,26,5,16,9,9,24,13,9,14,17,23,7,13,0,0,0,0,0,0,0,0,0,0,79
12,3,3,6,3,7,6,7,5,3,2,4,4,7,11,10,6,4,12,2,8,3,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,35
13,3,2,3,5,6,6,6,6,10,3,3,8,7,10,12,4,1,8,14,3,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
14,3,3,3,4,6,8,6,7,13,7,4,6,8,15,14,6,3,13,16,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
15,2,3,2,5,6,8,7,7,11,7,7,6,10,8,6,2,6,12,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
16,3,4,2,7,5,7,7,14,7,9,12,15,13,10,4,9,1,16,1,7,2,1,1,3,3,4,2,0,0,0,0,0,0,0,0,0,0,39
17,2,2,3,6,2,4,3,15,9,11,11,6,7,10,5,3,8,3,10,1,5,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,30
18,4,3,3,6,6,6,4,17,9,10,13,4,6,11,2,8,1,15,2,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36
19,1,3,3,6,4,4,4,15,6,7,14,3,6,9,3,7,3,9,2,3,4,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,34
20,1,1,2,1,1,1,7,3,3,3,1,1,6,3,0,2,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
21,8,5,9,8,10,7,19,40,10,8,9,5,7,9,9,3,42,6,6,7,6,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50
22,0,0,0,1,1,1,3,1,1,1,0,0,2,3,1,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,16,7,8,11,12,8,38,35,11,13,20,12,14,17,18,13,5,58,24,8,8,6,7,25,12,0,0,0,0,0,0,0,0,0,0,0,0,89
25,2,1,2,11,23,2,1,1,5,4,4,7,2,8,8,3,5,4,2,11,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
26,2,1,10,19,3,2,5,11,4,8,2,8,5,1,5,2,1,9,5,5,4,2,1,5,2,3,1,0,0,0,0,0,0,0,0,0,0,27
27,1,4,14,35,2,4,2,2,1,5,4,2,6,0,7,4,4,2,7,5,2,4,6,2,9,6,4,0,0,0,0,0,0,0,0,0,0,27
28,6,15,2,3,2,0,1,3,1,1,2,3,3,2,2,3,4,1,2,3,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
29,2,4,17,43,3,11,2,3,2,5,6,3,6,6,9,6,5,10,2,9,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
30,4,12,29,2,4,3,2,2,4,7,4,5,8,2,6,6,3,2,5,6,2,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36
31,1,1,1,1,3,8,1,1,2,1,2,2,2,2,2,1,3,2,3,3,2,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,13
32,2,7,18,2,1,4,5,2,6,6,1,5,4,3,5,6,3,3,8,6,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24
33,2,2,2,5,17,2,1,4,3,2,3,5,4,6,2,5,3,2,6,8,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23
34,1,2,1,4,13,1,1,0,1,1,1,2,4,2,4,5,2,3,4,2,5,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13
35,4,4,3,22,35,2,3,3,3,2,1,7,19,3,19,11,4,12,10,6,10,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,39
36,2,3,3,11,37,4,4,2,4,7,5,6,3,6,7,6,10,3,3,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
37,0,3,11,1,1,1,1,1,2,2,2,2,2,2,4,1,3,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
38,3,17,1,1,2,2,2,2,2,2,2,2,1,3,5,1,5,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
39,0,1,0,5,11,1,0,0,0,1,0,1,2,2,1,1,1,1,2,1,3,3,1,5,2,1,3,0,0,0,0,0,0,0,0,0,0,13
40,6,23,3,4,4,4,3,4,5,1,6,5,2,11,24,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
41,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
42,1,3,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8
43,0,2,4,1,1,1,0,2,2,1,2,1,2,1,0,0,1,1,1,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9
44,1,0,3,10,1,1,1,1,0,2,2,3,2,1,1,1,1,2,1,1,1,1,2,2,1,3,1,1,1,0,0,0,0,0,0,0,0,11
45,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
46,0,1,0,0,1,1,1,1,2,1,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,0,1,0,0,10
47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,1,4,1,1,0,1,1,1,0,1,1,3,1,1,0,1,1,1,1,1,2,1,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,9
49,7,1,1,3,1,2,2,2,1,3,2,3,2,2,1,2,1,2,1,4,2,2,1,1,1,2,1,1,2,0,0,0,0,0,0,0,0,15
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1,0,1,1,3,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7
52,1,1,6,3,4,3,2,4,4,3,2,1,1,2,1,2,2,3,4,2,2,3,2,2,0,2,0,1,2,0,0,0,0,0,0,0,0,20
53,1,1,1,1,4,1,2,2,2,1,1,1,2,2,3,0,1,1,0,2,2,3,1,2,2,1,1,2,4,1,1,2,0,0,0,0,0,15
54,1,3,1,0,1,3,2,0,1,3,1,1,1,1,1,2,3,2,3,3,1,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,14
55,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11
56,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,1,2,0,0,1,0,0,0,0,5
57,0,1,1,1,3,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
58,2,2,2,1,4,1,2,3,4,4,1,2,3,4,1,1,3,2,0,2,4,4,7,4,4,3,1,0,0,0,0,0,0,0,0,0,0,21
59,1,1,1,0,2,1,1,2,1,1,1,1,1,1,0,1,1,1,3,1,3,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,11
60,0,1,1,1,3,1,0,1,2,1,1,1,1,1,1,3,1,1,2,2,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10
61,0,1,0,2,1,1,1,2,1,1,1,1,1,1,1,1,0,1,3,1,3,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,13
