,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,2,1,1,1,1,1,1,2,7,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,1,3,1,2,0,3,3,2,4,11,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,2,1,4,6,4,7,6,12,32,3,3,3,2,1,3,2,1,8,11,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
4,2,4,3,3,3,5,3,19,2,2,1,3,2,2,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
5,2,4,1,3,3,6,4,10,20,4,4,3,2,0,4,6,2,6,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6,2,4,1,4,5,1,11,35,5,6,4,4,3,6,4,3,7,8,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7,2,4,2,4,3,5,3,14,29,7,12,5,4,2,8,8,7,10,10,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
8,2,7,3,3,3,2,4,9,25,5,6,5,3,4,6,10,6,4,10,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
9,3,8,4,3,3,6,7,5,18,3,5,4,3,6,9,14,10,0,7,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
10,16,5,10,10,13,13,8,23,4,6,3,8,9,8,27,66,20,16,9,18,9,7,7,27,12,10,0,0,0,0,0,0,0,0,0,0,0,72
11,15,6,8,10,12,9,9,11,4,6,14,16,9,23,26,4,17,9,7,19,10,8,14,19,19,7,13,0,0,0,0,0,0,0,0,0,0,74
12,3,1,3,2,5,5,5,4,3,2,3,3,6,10,11,6,2,11,2,9,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28
13,3,2,2,5,6,5,6,5,10,3,3,6,8,10,14,5,0,6,12,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
14,3,1,2,4,5,6,5,7,15,6,4,5,7,15,17,10,3,11,12,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
15,1,2,2,3,5,5,4,6,11,7,5,5,9,7,5,2,4,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
16,1,2,2,3,3,4,5,12,6,6,10,14,12,7,2,6,1,10,1,3,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,30
17,1,2,3,3,1,3,2,17,7,10,9,5,6,11,5,3,6,1,10,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26
18,2,2,2,3,4,5,3,19,7,8,9,2,5,13,1,5,1,12,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26
19,0,2,1,3,2,3,3,14,5,5,10,2,5,9,2,4,1,7,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25
20,1,0,1,1,1,1,8,3,3,3,1,1,6,4,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
21,6,5,10,7,8,5,21,65,11,10,9,5,7,11,10,5,58,7,6,6,5,5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,56
22,0,0,0,1,1,2,4,1,1,1,0,0,2,2,1,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24,18,8,7,10,8,7,42,32,11,13,15,12,13,16,20,11,5,75,30,8,5,6,5,31,9,0,0,0,0,0,0,0,0,0,0,0,0,84
25,2,2,1,17,40,2,2,2,6,6,4,7,2,6,9,2,4,6,2,12,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
