,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,3,3,2,0,2,3,1,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,7,2,8,11,8,4,5,18,11,12,5,11,12,8,9,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
3,4,2,7,18,10,9,6,22,33,21,17,15,22,17,15,14,18,6,11,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
4,4,1,13,24,15,9,19,45,26,32,28,35,36,23,32,29,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5,4,8,2,7,9,15,13,22,37,20,21,22,35,50,17,36,40,13,17,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
6,7,18,4,8,17,5,22,54,25,59,25,48,45,23,26,28,17,18,3,16,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
7,8,15,5,14,12,2,12,26,64,45,46,60,82,76,35,57,70,15,12,17,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
8,9,16,1,1,9,8,3,18,38,36,26,29,51,63,27,66,65,13,16,4,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
9,12,21,3,7,7,10,1,19,39,24,49,47,67,85,58,88,105,34,21,33,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
10,9,4,7,14,6,5,3,6,7,16,27,15,35,34,17,57,20,15,8,9,6,4,6,18,8,10,0,0,0,0,0,0,0,0,0,0,0,137
11,6,3,4,3,8,7,0,6,16,37,17,33,37,15,24,0,5,11,5,3,3,10,10,12,5,5,6,0,0,0,0,0,0,0,0,0,0,123
12,6,2,4,7,10,0,5,4,7,0,7,22,37,23,57,41,19,22,1,9,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,68
13,5,3,10,14,12,8,4,4,11,5,13,39,75,20,58,58,16,14,12,6,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,114
14,18,5,17,23,39,15,7,14,28,24,16,24,68,56,100,140,32,31,16,11,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,189
15,1,0,6,5,4,11,6,3,9,9,6,8,3,20,17,8,7,4,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
16,1,5,5,5,4,2,10,5,10,22,8,2,21,22,3,4,0,15,2,3,6,2,3,2,1,4,10,0,0,0,0,0,0,0,0,0,0,48
17,0,5,3,10,3,4,5,17,20,25,22,9,18,2,10,2,3,0,7,6,1,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,55
18,5,7,4,3,3,3,7,16,11,27,16,15,26,2,3,3,0,2,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
19,1,5,3,7,6,7,11,15,6,8,18,16,52,4,4,0,0,11,2,1,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,48
20,1,0,2,4,6,7,14,12,8,20,19,42,4,15,11,8,3,0,0,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47
21,15,14,8,26,11,8,36,63,37,44,38,39,85,29,37,47,22,4,6,5,8,8,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,152
22,2,1,10,7,5,5,16,12,18,23,15,32,10,21,43,8,2,5,2,0,2,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,39
23,0,1,0,0,1,0,2,0,1,1,2,1,2,0,0,2,2,0,7,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
24,6,4,2,2,3,5,6,12,11,2,6,5,8,9,4,6,3,2,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29
25,0,4,1,8,26,11,5,9,6,10,6,13,1,5,6,4,12,6,0,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
26,4,3,10,19,10,7,4,6,3,1,2,1,4,2,4,6,3,4,3,2,2,4,4,5,3,12,6,0,0,0,0,0,0,0,0,0,0,70
27,14,18,52,114,34,48,19,36,59,19,26,40,13,0,18,16,6,17,8,15,11,14,43,19,21,13,5,0,0,0,0,0,0,0,0,0,0,218
28,14,33,13,16,10,21,17,9,19,16,0,14,2,6,5,4,3,7,8,8,6,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,60
29,16,27,97,260,74,115,74,106,126,68,96,88,22,31,33,59,31,72,42,39,20,13,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
30,11,31,74,27,40,20,46,78,41,69,68,11,16,8,12,20,9,11,20,26,23,19,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,192
31,5,3,5,2,4,18,8,7,21,24,8,14,23,2,4,7,9,4,3,4,8,6,2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,60
32,6,14,24,8,25,17,20,41,6,8,1,8,10,2,8,3,10,10,16,11,3,4,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,96
33,8,9,0,11,15,7,4,7,14,16,10,2,7,9,7,1,8,0,6,4,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,92
34,5,6,4,14,23,7,4,16,4,11,19,7,9,3,6,9,5,4,5,7,10,11,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,65
35,8,11,2,20,50,6,14,8,7,7,22,6,24,7,12,11,4,5,11,9,11,7,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,80
36,11,13,4,22,57,13,6,15,6,20,12,15,8,9,8,10,20,4,2,6,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
37,1,11,22,6,6,6,6,3,7,2,7,3,7,8,10,5,12,3,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
38,18,41,9,7,7,7,0,9,3,6,2,8,6,10,14,4,9,12,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
39,4,5,3,13,20,2,12,3,6,3,10,1,3,0,1,7,2,0,2,5,6,8,2,9,3,2,4,0,0,0,0,0,0,0,0,0,0,38
40,10,49,4,3,5,4,7,4,7,3,15,12,4,11,18,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
41,2,7,9,3,7,8,4,10,9,2,7,2,1,3,8,3,7,8,22,6,1,52,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,16
42,4,7,8,4,2,3,2,6,2,1,0,1,4,0,1,2,2,2,1,1,1,3,12,12,9,5,2,8,8,0,0,0,0,0,0,0,0,33
43,0,2,10,5,5,7,1,2,1,2,0,1,0,1,3,3,1,2,2,3,2,3,5,2,2,6,5,1,3,0,0,0,0,0,0,0,0,32
44,1,2,13,17,7,20,7,11,19,3,9,4,5,0,4,6,8,6,6,8,20,0,10,3,1,21,24,12,5,26,0,0,0,0,0,0,0,63
45,2,1,4,2,2,2,4,3,1,0,0,3,1,3,1,0,0,0,1,3,0,3,0,0,0,8,3,5,2,6,0,0,0,0,0,0,0,17
46,1,0,4,1,7,9,5,10,1,2,0,4,2,0,1,4,2,0,1,1,1,2,5,3,4,0,3,0,3,13,14,14,3,1,15,6,3,28
47,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3
48,7,7,5,9,8,22,8,27,19,2,3,6,0,0,5,2,19,11,6,0,3,9,27,34,24,12,4,51,28,10,7,0,0,0,0,0,0,35
49,4,3,11,29,8,19,17,6,4,8,4,1,9,8,19,3,1,7,7,33,31,23,9,1,10,88,38,17,13,0,0,0,0,0,0,0,0,49
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,1,12,7,13,18,6,1,4,2,1,2,4,16,1,0,3,3,11,18,22,18,1,5,68,48,17,7,0,0,0,0,0,0,0,0,0,47
52,4,4,5,25,15,31,53,19,5,11,3,2,4,6,31,5,6,8,10,7,24,34,25,5,9,138,55,27,19,0,0,0,0,0,0,0,0,76
53,4,1,0,4,9,3,5,3,13,21,3,2,3,4,1,1,3,4,9,1,1,1,6,5,9,12,2,1,49,40,19,11,0,0,0,0,0,37
54,0,2,5,3,3,4,15,21,2,4,5,0,0,4,2,4,3,2,16,11,0,2,1,83,49,18,14,0,0,0,0,0,0,0,0,0,0,23
55,1,1,1,3,1,3,4,2,2,1,1,3,2,2,2,1,1,1,1,4,11,9,7,1,36,29,6,5,0,0,0,0,0,0,0,0,0,18
56,0,0,0,0,0,1,0,4,1,3,0,0,2,1,3,1,0,0,0,1,1,0,0,1,0,1,2,6,7,5,1,0,15,7,6,2,0,10
57,2,0,4,2,3,4,0,8,10,3,6,8,1,2,0,4,4,1,1,18,12,10,3,1,2,7,5,0,0,0,0,0,0,0,0,0,0,27
58,2,1,0,0,0,2,1,0,6,2,2,4,2,6,0,0,2,1,0,3,2,1,7,13,11,4,1,0,0,0,0,0,0,0,0,0,0,24
59,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,6,3,0,17,0,0,0,0,0,0,0,0,0,0,0,7
60,0,1,0,0,3,0,1,1,5,0,2,0,2,0,0,0,0,1,2,1,0,2,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
61,0,0,0,4,0,0,1,4,1,3,2,2,2,4,0,0,0,1,2,0,5,12,7,1,0,12,0,0,0,0,0,0,0,0,0,0,0,10
