,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,1,2,2,2,4,1,3,5,6,5,0,2,2,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,0,1,2,0,1,0,1,3,2,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,1,2,3,7,9,8,3,8,6,14,9,9,7,6,10,6,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
3,1,0,6,13,10,11,5,20,31,15,16,11,14,20,9,13,18,10,15,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
4,0,4,6,18,12,12,16,36,20,27,19,33,28,23,25,32,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
5,3,7,1,1,9,10,14,21,33,24,25,18,27,46,20,33,30,11,15,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
6,5,16,3,5,14,7,21,37,25,42,25,40,37,22,27,38,15,11,2,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
7,8,16,8,16,7,5,8,23,45,53,34,45,69,72,35,58,76,24,15,10,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
8,5,19,5,6,15,8,5,13,29,27,35,25,42,63,29,65,63,16,21,1,3,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
9,11,15,8,16,10,11,3,11,29,32,36,39,63,79,56,72,101,30,17,24,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
10,10,6,4,9,7,4,3,5,11,14,22,14,24,34,14,36,10,5,5,3,8,4,7,16,7,8,0,0,0,0,0,0,0,0,0,0,0,102
11,9,3,6,6,6,8,7,4,17,31,19,26,39,12,15,3,12,9,3,6,3,5,10,12,5,2,8,0,0,0,0,0,0,0,0,0,0,101
12,9,4,10,10,11,4,4,4,4,2,9,25,40,19,41,39,11,14,0,15,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,63
13,7,4,11,12,12,7,5,5,9,6,6,31,44,25,60,57,17,16,15,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
14,11,3,19,15,22,12,8,13,20,23,9,19,54,40,91,139,38,22,19,8,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
15,5,2,2,7,7,8,4,7,7,9,7,8,7,14,22,4,11,11,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
16,1,5,3,6,5,3,6,9,13,16,10,4,20,24,5,7,1,11,4,2,5,2,3,2,3,3,15,0,0,0,0,0,0,0,0,0,0,36
17,3,5,5,8,5,2,8,15,23,26,20,9,20,4,11,2,2,1,5,1,3,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,48
18,1,5,4,6,4,3,10,10,13,25,25,8,18,0,4,4,1,11,1,4,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40
19,1,4,3,4,3,5,8,9,12,12,15,22,28,7,4,3,5,10,3,2,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,46
20,2,1,4,5,7,7,10,13,12,15,19,32,9,15,7,10,1,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43
21,8,9,13,22,14,9,32,46,35,39,36,36,71,17,32,41,31,4,9,2,7,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,160
22,3,2,4,2,2,5,11,13,15,20,23,26,11,16,33,7,4,8,3,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40
23,0,0,0,1,0,1,2,1,2,0,2,2,0,2,2,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
24,3,1,1,0,0,5,9,6,3,5,0,3,8,5,8,7,3,7,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,22
